user_id;gender;age_range;occupation;zipcode;movie_id;title;genres;timestamp;rating
1;Female;Under 18;K-12 student;48067;1193;One Flew Over the Cuckoo's Nest (1975);Drama;978300760;5
1;Female;Under 18;K-12 student;48067;661;James and the Giant Peach (1996);Animation$Children's$Musical;978302109;3
1;Female;Under 18;K-12 student;48067;914;My Fair Lady (1964);Musical$Romance;978301968;3
1;Female;Under 18;K-12 student;48067;3408;Erin Brockovich (2000);Drama;978300275;4
1;Female;Under 18;K-12 student;48067;2355;Bug's Life, A (1998);Animation$Children's$Comedy;978824291;5
1;Female;Under 18;K-12 student;48067;1197;Princess Bride, The (1987);Action$Adventure$Comedy$Romance;978302268;3
1;Female;Under 18;K-12 student;48067;1287;Ben-Hur (1959);Action$Adventure$Drama;978302039;5
1;Female;Under 18;K-12 student;48067;2804;Christmas Story, A (1983);Comedy$Drama;978300719;5
1;Female;Under 18;K-12 student;48067;594;Snow White and the Seven Dwarfs (1937);Animation$Children's$Musical;978302268;4
1;Female;Under 18;K-12 student;48067;919;Wizard of Oz, The (1939);Adventure$Children's$Drama$Musical;978301368;4
1;Female;Under 18;K-12 student;48067;595;Beauty and the Beast (1991);Animation$Children's$Musical;978824268;5
1;Female;Under 18;K-12 student;48067;938;Gigi (1958);Musical;978301752;4
1;Female;Under 18;K-12 student;48067;2398;Miracle on 34th Street (1947);Drama;978302281;4
1;Female;Under 18;K-12 student;48067;2918;Ferris Bueller's Day Off (1986);Comedy;978302124;4
1;Female;Under 18;K-12 student;48067;1035;Sound of Music, The (1965);Musical;978301753;5
1;Female;Under 18;K-12 student;48067;2791;Airplane! (1980);Comedy;978302188;4
1;Female;Under 18;K-12 student;48067;1097;E.T. the Extra-Terrestrial (1982);Children's$Drama$Fantasy$Sci-Fi;978301953;4
1;Female;Under 18;K-12 student;48067;1721;Titanic (1997);Drama$Romance;978300055;4
1;Female;Under 18;K-12 student;48067;1545;Ponette (1996);Drama;978824139;4
1;Female;Under 18;K-12 student;48067;745;Close Shave, A (1995);Animation$Comedy$Thriller;978824268;3
1;Female;Under 18;K-12 student;48067;2294;Antz (1998);Animation$Children's;978824291;4
1;Female;Under 18;K-12 student;48067;3186;Girl, Interrupted (1999);Drama;978300019;4
2;Male;56+;self-employed;70072;3451;Guess Who's Coming to Dinner (1967);Comedy$Drama;978298924;4
2;Male;56+;self-employed;70072;3095;Grapes of Wrath, The (1940);Drama;978298517;4
2;Male;56+;self-employed;70072;780;Independence Day (ID4) (1996);Action$Sci-Fi$War;978299966;3
2;Male;56+;self-employed;70072;498;Mr. Jones (1993);Drama$Romance;978299418;3
2;Male;56+;self-employed;70072;2728;Spartacus (1960);Drama;978298881;3
2;Male;56+;self-employed;70072;2002;Lethal Weapon 3 (1992);Action$Comedy$Crime$Drama;978300100;5
2;Male;56+;self-employed;70072;1962;Driving Miss Daisy (1989);Drama;978298813;5
2;Male;56+;self-employed;70072;1784;As Good As It Gets (1997);Comedy$Drama;978298841;5
2;Male;56+;self-employed;70072;2943;Indochine (1992);Drama$Romance;978298372;4
2;Male;56+;self-employed;70072;2006;Mask of Zorro, The (1998);Action$Adventure$Romance;978299861;3
2;Male;56+;self-employed;70072;318;Shawshank Redemption, The (1994);Drama;978298413;5
2;Male;56+;self-employed;70072;1207;To Kill a Mockingbird (1962);Drama;978298478;4
2;Male;56+;self-employed;70072;1968;Breakfast Club, The (1985);Comedy$Drama;978298881;2
2;Male;56+;self-employed;70072;3678;Man with the Golden Arm, The (1955);Drama;978299250;3
2;Male;56+;self-employed;70072;1244;Manhattan (1979);Comedy$Drama$Romance;978299143;3
2;Male;56+;self-employed;70072;356;Forrest Gump (1994);Comedy$Romance$War;978299686;5
2;Male;56+;self-employed;70072;1245;Miller's Crossing (1990);Drama;978299200;2
2;Male;56+;self-employed;70072;1246;Dead Poets Society (1989);Drama;978299418;5
2;Male;56+;self-employed;70072;3893;Nurse Betty (2000);Comedy$Thriller;978299535;1
2;Male;56+;self-employed;70072;1247;Graduate, The (1967);Drama$Romance;978298652;5
3;Male;25-34;scientist;55117;3421;Animal House (1978);Comedy;978298147;4
