Transaction_date,Price,Product
1/2/09 6:17,1200,Product1
1/2/09 4:53,1200,Product1
1/2/09 13:08,1200,Product1
1/3/09 14:44,1200,Product1
1/4/09 12:56,3600,Product2
1/4/09 13:19,1200,Product1
1/4/09 20:11,1200,Product1
1/2/09 20:09,1200,Product1
1/4/09 13:17,1200,Product1
1/4/09 14:11,1200,Product1
1/5/09 2:42,1200,Product1
1/5/09 5:39,1200,Product1
1/2/09 9:16,1200,Product1
1/5/09 10:08,1200,Product1
1/2/09 14:18,1200,Product1
1/4/09 1:05,1200,Product1
1/5/09 11:37,1200,Product1
1/6/09 5:02,1200,Product1
1/6/09 7:45,3600,Product2
1/2/09 7:35,1200,Product1
1/6/09 12:56,1200,Product1
1/1/09 11:05,1200,Product1
1/5/09 4:10,1200,Product1
1/6/09 7:18,1200,Product1
1/2/09 1:11,1200,Product1
1/1/09 2:24,1200,Product1
1/7/09 8:08,1200,Product1
1/2/09 2:57,1200,Product1
1/1/09 20:21,1200,Product1
1/8/09 0:42,1200,Product1
1/8/09 3:56,1200,Product1
1/8/09 3:16,1200,Product1
1/8/09 1:59,1200,Product1
1/3/09 9:03,1200,Product1
1/5/09 13:17,1200,Product1
1/6/09 7:46,1200,Product1
1/5/09 20:00,3600,Product2
1/8/09 16:24,1200,Product1
1/9/09 6:39,1200,Product1
1/6/09 22:19,3600,Product2
1/6/09 23:00,3600,Product2
1/7/09 7:44,1200,Product1
1/3/09 13:24,1200,Product1
1/7/09 15:12,3600,Product2
1/7/09 20:15,1200,Product1
1/3/09 10:11,3600,Product2
1/9/09 15:58,1200,Product1
1/3/09 13:11,1200,Product1
1/10/09 12:57,1200,Product1
1/10/09 14:43,1200,Product1
1/10/09 12:05,1200,Product1
1/6/09 1:20,1200,Product1
1/10/09 14:56,1200,Product1
1/7/09 10:01,1200,Product1
1/1/09 1:26,1200,Product1
1/11/09 2:04,1200,Product1
1/11/09 14:17,1200,Product1
1/10/09 21:38,1200,Product1
1/7/09 6:18,1200,Product1
1/4/09 8:39,3600,Product2
1/5/09 0:31,1200,Product1
1/2/09 6:07,1200,Product1
1/12/09 3:25,1200,Product1
1/4/09 13:56,1200,Product1
1/7/09 0:12,3600,Product2
1/12/09 5:18,1200,Product1
1/8/09 15:16,1200,Product1
1/11/09 11:33,1200,Product1
1/7/09 20:22,1200,Product1
1/2/09 22:00,1200,Product1
1/5/09 13:52,1200,Product1
1/8/09 20:32,1200,Product1
1/8/09 13:34,1200,Product1
1/11/09 13:08,1200,Product1
1/12/09 19:04,1200,Product1
1/12/09 13:41,1200,Product1
1/11/09 10:38,1200,Product1
1/13/09 5:57,1200,Product1
1/13/09 6:13,1200,Product1
1/8/09 13:14,1200,Product1
1/2/09 11:41,1200,Product1
1/7/09 19:50,1200,Product1
1/1/09 20:28,1200,Product1
1/3/09 15:22,1200,Product1
1/12/09 3:03,3600,Product2
1/5/09 8:58,3600,Product2
1/10/09 14:03,1200,Product1
1/13/09 11:26,1200,Product1
1/2/09 12:18,1200,Product1
1/14/09 4:54,1200,Product1
1/6/09 17:15,1200,Product1
1/3/09 13:56,1200,Product1
1/4/09 7:54,1200,Product1
1/12/09 7:28,1200,Product1
1/6/09 15:15,1200,Product1
1/13/09 23:56,1200,Product1
1/14/09 19:32,1200,Product1
1/6/09 21:13,1200,Product1
1/14/09 11:19,1200,Product1
